,X1,X,long,lat,group,order,region,subregion,State,GeoRegion
14438,14438,14438,-123.5067902,48.13418198,60,14497,washington,NA,WA,Pacific
14439,14439,14439,-123.4609451,48.13991547,60,14498,washington,NA,WA,Pacific
14440,14440,14440,-123.3750076,48.1284523,60,14499,washington,NA,WA,Pacific
14441,14441,14441,-123.2833328,48.11699677,60,14500,washington,NA,WA,Pacific
14442,14442,14442,-123.2317657,48.12272644,60,14501,washington,NA,WA,Pacific
14443,14443,14443,-123.1458282,48.11699677,60,14502,washington,NA,WA,Pacific
14444,14444,14444,-123.1057205,48.14564514,60,14503,washington,NA,WA,Pacific
14445,14445,14445,-123.0484161,48.1284523,60,14504,washington,NA,WA,Pacific
14446,14446,14446,-123.0025787,48.09407806,60,14505,washington,NA,WA,Pacific
14447,14447,14447,-122.9911194,48.06542969,60,14506,washington,NA,WA,Pacific
14448,14448,14448,-122.9624786,48.03678131,60,14507,washington,NA,WA,Pacific
14449,14449,14449,-122.9452896,48.05970001,60,14508,washington,NA,WA,Pacific
14450,14450,14450,-122.9395523,48.08834457,60,14509,washington,NA,WA,Pacific
14451,14451,14451,-122.8765259,48.07688904,60,14510,washington,NA,WA,Pacific
14452,14452,14452,-122.8765259,48.04251099,60,14511,washington,NA,WA,Pacific
14453,14453,14453,-122.8249588,48.02532196,60,14512,washington,NA,WA,Pacific
14454,14454,14454,-122.8478775,47.99094391,60,14513,washington,NA,WA,Pacific
14455,14455,14455,-122.8249588,47.98521423,60,14514,washington,NA,WA,Pacific
14456,14456,14456,-122.767662,48.02532196,60,14515,washington,NA,WA,Pacific
14457,14457,14457,-122.8192291,48.07688904,60,14516,washington,NA,WA,Pacific
14458,14458,14458,-122.8020477,48.11699677,60,14517,washington,NA,WA,Pacific
14459,14459,14459,-122.7332916,48.1284523,60,14518,washington,NA,WA,Pacific
14460,14460,14460,-122.716095,48.09980774,60,14519,washington,NA,WA,Pacific
14461,14461,14461,-122.7562027,48.07115936,60,14520,washington,NA,WA,Pacific
14462,14462,14462,-122.7390213,48.01959229,60,14521,washington,NA,WA,Pacific
14463,14463,14463,-122.6989136,48.04824066,60,14522,washington,NA,WA,Pacific
14464,14464,14464,-122.6702652,48.01959229,60,14523,washington,NA,WA,Pacific
14465,14465,14465,-122.6702652,48.09980774,60,14524,washington,NA,WA,Pacific
14466,14466,14466,-122.6301575,48.07688904,60,14525,washington,NA,WA,Pacific
14467,14467,14467,-122.6129761,48.00813293,60,14526,washington,NA,WA,Pacific
14468,14468,14468,-122.6473465,47.94510651,60,14527,washington,NA,WA,Pacific
14469,14469,14469,-122.6129761,47.89354324,60,14528,washington,NA,WA,Pacific
14470,14470,14470,-122.6015167,47.87062454,60,14529,washington,NA,WA,Pacific
14471,14471,14471,-122.6473465,47.85343552,60,14530,washington,NA,WA,Pacific
14472,14472,14472,-122.6530838,47.81905746,60,14531,washington,NA,WA,Pacific
14473,14473,14473,-122.7046356,47.80759811,60,14532,washington,NA,WA,Pacific
14474,14474,14474,-122.7103729,47.77322388,60,14533,washington,NA,WA,Pacific
14475,14475,14475,-122.7504807,47.75603485,60,14534,washington,NA,WA,Pacific
14476,14476,14476,-122.7390213,47.80759811,60,14535,washington,NA,WA,Pacific
14477,14477,14477,-122.767662,47.83624649,60,14536,washington,NA,WA,Pacific
14478,14478,14478,-122.767662,47.80186844,60,14537,washington,NA,WA,Pacific
14479,14479,14479,-122.779129,47.77894974,60,14538,washington,NA,WA,Pacific
14480,14480,14480,-122.8249588,47.81332779,60,14539,washington,NA,WA,Pacific
14481,14481,14481,-122.8249588,47.76749039,60,14540,washington,NA,WA,Pacific
14482,14482,14482,-122.8135071,47.73311615,60,14541,washington,NA,WA,Pacific
14483,14483,14483,-122.8478775,47.72738647,60,14542,washington,NA,WA,Pacific
14484,14484,14484,-122.8708038,47.67581558,60,14543,washington,NA,WA,Pacific
14485,14485,14485,-122.9510117,47.62998199,60,14544,washington,NA,WA,Pacific
14486,14486,14486,-122.97966,47.61852264,60,14545,washington,NA,WA,Pacific
14487,14487,14487,-123.0025787,47.59560394,60,14546,washington,NA,WA,Pacific
14488,14488,14488,-123.0197678,47.56122589,60,14547,washington,NA,WA,Pacific
14489,14489,14489,-123.0713348,47.48101425,60,14548,washington,NA,WA,Pacific
14490,14490,14490,-123.0942535,47.41225815,60,14549,washington,NA,WA,Pacific
14491,14491,14491,-123.1171646,47.34923172,60,14550,washington,NA,WA,Pacific
14492,14492,14492,-123.0770569,47.33777237,60,14551,washington,NA,WA,Pacific
14493,14493,14493,-123.0426865,47.34923172,60,14552,washington,NA,WA,Pacific
14494,14494,14494,-123.0025787,47.34350586,60,14553,washington,NA,WA,Pacific
14495,14495,14495,-122.8994446,47.37215042,60,14554,washington,NA,WA,Pacific
14496,14496,14496,-122.8650665,47.38933945,60,14555,washington,NA,WA,Pacific
14497,14497,14497,-122.8077698,47.4237175,60,14556,washington,NA,WA,Pacific
14498,14498,14498,-122.8536148,47.42944336,60,14557,washington,NA,WA,Pacific
14499,14499,14499,-122.9452896,47.38360977,60,14558,washington,NA,WA,Pacific
